藥劑名稱,影響用途數,原分類,MRL國際普通名稱,有訂容許量的作物類別數,人工確認(是/否)
"左旋莫多草",4,"英文有效成分未對到","(未對到:疑似混合劑或衍生物)","含已知成分「莫多草」,須逐一拆解",
"銅快得寧",4,"英文有效成分未對到","(未對到:疑似混合劑或衍生物)","含已知成分「快得寧」,須逐一拆解",
"邁隆",4,"英文有效成分未對到","(未對到:無線索)","須查官方農藥名稱手冊確認學名",
"移植生長素",4,"英文有效成分未對到","(未對到:無線索)","須查官方農藥名稱手冊確認學名",
"苦參鹼",4,"英文有效成分未對到","(未對到:生物製劑)","多數屬免訂容許量,確認是否在清單內(注意菌株層級)",
"甜菜夜蛾核多角體病毒",4,"英文有效成分未對到","(未對到:生物製劑)","多數屬免訂容許量,確認是否在清單內(注意菌株層級)",
"小菜蛾性費洛蒙",3,"官方許可證名稱查無","(未對到:生物製劑)","多數屬免訂容許量,確認是否在清單內(注意菌株層級)",
"克蠅香",3,"官方許可證名稱查無","(未對到:無線索)","須查官方農藥名稱手冊確認學名",
"磷化鎂",3,"英文有效成分未對到","(未對到:無線索)","須查官方農藥名稱手冊確認學名",
"四氯保淨",3,"英文有效成分未對到","(未對到:無線索)","須查官方農藥名稱手冊確認學名",
"硫酸快得寧",3,"英文有效成分未對到","(未對到:疑似混合劑或衍生物)","含已知成分「快得寧」,須逐一拆解",
"四氯賽得",3,"英文有效成分未對到","(未對到:無線索)","須查官方農藥名稱手冊確認學名",
"液化澱粉芽孢桿菌Ba-BPD1",3,"英文有效成分未對到","(未對到:生物製劑)","多數屬免訂容許量,確認是否在清單內(注意菌株層級)",
"氟比賽得",2,"英文有效成分未對到","(未對到:無線索)","須查官方農藥名稱手冊確認學名",
"益化利",2,"英文有效成分未對到","(未對到:無線索)","須查官方農藥名稱手冊確認學名",
"四氯右滅達樂",2,"英文有效成分未對到","(未對到:疑似混合劑或衍生物)","含已知成分「滅達樂」,須逐一拆解",
"萘乙酸鈉",2,"英文有效成分未對到","(未對到:已列免訂容許量)","不需對照,確認免訂比對表即可",
"硫黃芬胺",2,"英文有效成分未對到","(未對到:無線索)","須查官方農藥名稱手冊確認學名",
"納得亞滅寧",2,"英文有效成分未對到","(未對到:無線索)","須查官方農藥名稱手冊確認學名",
"保粒快得寧",2,"英文有效成分未對到","(未對到:疑似混合劑或衍生物)","含已知成分「快得寧」,須逐一拆解",
"克熱賜圃",2,"英文有效成分未對到","(未對到:無線索)","須查官方農藥名稱手冊確認學名",
"蕈狀芽孢桿菌AGB01",2,"英文有效成分未對到","(未對到:生物製劑)","多數屬免訂容許量,確認是否在清單內(注意菌株層級)",
"鮎澤蘇力菌GC-91",2,"英文有效成分未對到","(未對到:已列免訂容許量)","不需對照,確認免訂比對表即可",
"福芬素",2,"英文有效成分未對到","(未對到:無線索)","須查官方農藥名稱手冊確認學名",
"保粒保淨",2,"英文有效成分未對到","(未對到:無線索)","須查官方農藥名稱手冊確認學名",
"克絕波爾多",2,"英文有效成分未對到","(未對到:疑似混合劑或衍生物)","含已知成分「克絕」,須逐一拆解",
"鮎澤蘇力菌Ab12",2,"英文有效成分未對到","(未對到:已列免訂容許量)","不需對照,確認免訂比對表即可",
"貝萊斯芽孢桿菌 BACY",2,"英文有效成分未對到","(未對到:生物製劑)","多數屬免訂容許量,確認是否在清單內(注意菌株層級)",
"甲鋅保粒素",2,"英文有效成分未對到","(未對到:無線索)","須查官方農藥名稱手冊確認學名",
"果收生長素",1,"官方許可證名稱查無","(未對到:無線索)","須查官方農藥名稱手冊確認學名",
"伏滅鼠",1,"英文有效成分未對到","(未對到:無線索)","須查官方農藥名稱手冊確認學名",
"可滅鼠",1,"英文有效成分未對到","(未對到:無線索)","須查官方農藥名稱手冊確認學名",
"發光光桿菌0805-P2R",1,"英文有效成分未對到","(未對到:生物製劑)","多數屬免訂容許量,確認是否在清單內(注意菌株層級)",
"含毒甲基丁香油",1,"英文有效成分未對到","(未對到:無線索)","須查官方農藥名稱手冊確認學名",
"布芬益化利",1,"英文有效成分未對到","(未對到:無線索)","須查官方農藥名稱手冊確認學名",
"貝萊斯芽孢桿菌WG6-14",1,"英文有效成分未對到","(未對到:生物製劑)","多數屬免訂容許量,確認是否在清單內(注意菌株層級)",
"耐克螺",1,"英文有效成分未對到","(未對到:無線索)","須查官方農藥名稱手冊確認學名",
"丁拉汰草",1,"英文有效成分未對到","(未對到:無線索)","須查官方農藥名稱手冊確認學名",
