"原因","作物","藥劑","防治對象數","成分逐一判定","作物歸類","人工確認(是/否)","備註"
"近似作物名","十字花科小葉菜類","白列克敏","1","PYRACLOSTROBIN=近似作物名待確認(標準有近似名:其他十字花科小葉菜類(芥菜除外)) | BOSCALID=有容許量(十字花科小葉菜類 4ppm)","MRL 同名+小葉菜類","",""
"通用列","十字花科小葉菜類","因汀氟滅","2","EMAMECTIN BENZOATE=有容許量(小葉菜類 0.05ppm) | FLUBENDIAMIDE=通用列待確認(標準有通用列:其他乾豆類(棉籽除外)、其他梨果類(李、杏、油桃、柿、桃、梅、蘋果、櫻桃除外))","MRL 同名+小葉菜類","",""
"通用列","十字花科小葉菜類","因得克","1","INDOXACARB=通用列待確認(標準有通用列:其他(蔬果類)*、其他(穀類)*、其他(茶類)*)","MRL 同名+小葉菜類","",""
"近似作物名","十字花科小葉菜類","百克敏","1","PYRACLOSTROBIN=近似作物名待確認(標準有近似名:其他十字花科小葉菜類(芥菜除外))","MRL 同名+小葉菜類","",""
"通用列","十字花科小葉菜類","克凡派","3","CHLORFENAPYR=通用列待確認(標準有通用列:其他瓜果類(洋香瓜除外)、其他小葉菜類(韭菜、茼蒿、菠菜、葉用豌豆除外)、其他(蔬果類)*、其他(穀類)*、其他(茶類)*)","MRL 同名+小葉菜類","",""
"通用列","十字花科小葉菜類","克福隆","1","CHLORFLUAZURON=通用列待確認(標準有通用列:其他小葉菜類(菠菜除外)、其他包葉菜類(結球萵苣除外)、其他(蔬果類)*、其他(穀類)*、其他(茶類)*)","MRL 同名+小葉菜類","",""
"通用列","十字花科小葉菜類","亞托敏","1","AZOXYSTROBIN=通用列待確認(標準有通用列:其他小葉菜類(半結球萵苣、不結球萵苣、芹菜、青蔥、蒜及茼蒿除外)、其他小漿果類(藍莓、覆盆子除外)、其他豆菜類(刀豆、毛豆、花豆(鮮)、扁豆、豇豆(鮮)、萊豆、菜豆、豌豆、樹豆(鮮)、翼豆、蠶豆(鮮)、鷹嘴豆除外)、其他果菜類(枸杞、茄子、甜椒、番茄、辣椒除外)、其他根莖菜類(芋頭、洋蔥、馬鈴薯、甜菜根、人參(鮮)、牛蒡、豆薯、百合鱗莖、紅蔥頭、黑皮波羅門參、蕎頭、薑、蘆筍除外)、其他草木本植物(火龍果花、菊花除外)、其他堅果類(杏仁、開心果除外)、其他(蔬果類)*、其他(穀類)*、其他(茶類)*)","MRL 同名+小葉菜類","",""
"通用列","十字花科小葉菜類","阿巴汀","2","ABAMECTIN=通用列待確認(標準有通用列:其他小葉菜類(芹菜除外)、其他包葉菜類(十字花科包葉菜類、結球萵苣除外)、其他(蔬果類)*、其他(穀類)*、其他(茶類)*)","MRL 同名+小葉菜類","",""
"通用列","十字花科小葉菜類","阿巴安勃","7","ABAMECTIN=通用列待確認(標準有通用列:其他小葉菜類(芹菜除外)、其他包葉菜類(十字花科包葉菜類、結球萵苣除外)、其他(蔬果類)*、其他(穀類)*、其他(茶類)*) | CHLORANTRANILIPROLE=有容許量(十字花科小葉菜類 3ppm)","MRL 同名+小葉菜類","",""
"通用列","十字花科小葉菜類","氟大滅","6","FLUBENDIAMIDE=通用列待確認(標準有通用列:其他乾豆類(棉籽除外)、其他梨果類(李、杏、油桃、柿、桃、梅、蘋果、櫻桃除外))","MRL 同名+小葉菜類","",""
"通用列","十字花科小葉菜類","美氟綜","1","METAFLUMIZONE=通用列待確認(標準有通用列:其他(蔬果類)*、其他(穀類)*、其他(茶類)*)","MRL 同名+小葉菜類","",""
"通用列","十字花科小葉菜類","益達胺","3","IMIDACLOPRID=通用列待確認(標準有通用列:其他小葉菜類(半結球萵苣、不結球萵苣、蒜、蕗蕎及芹菜除外)、其他包葉菜類(結球萵苣除外)、其他豆菜類(毛豆除外)、其他果菜類(甜椒、金針除外)、其他核果類(橄欖除外)、其他根莖菜類(茭白筍、蓮藕、山藥、洋蔥、紅蔥頭、馬鈴薯、黑皮波羅門參、牛蒡、百合鱗莖、竹筍、芋頭、豆薯除外)、其他乾豆類(油菜籽、葵花籽、蓮子、落花生、大豆、芝麻除外)、其他(蔬果類)*、其他(穀類)*、其他(茶類)*)","MRL 同名+小葉菜類","",""
"通用列","十字花科小葉菜類","硫敵克","1","THIODICARB=通用列待確認(標準有通用列:其他小葉菜類(芹菜除外)、其他包葉菜類(甘藍、青花菜及結球萵苣除外)、其他(蔬果類)*、其他(穀類)*、其他(茶類)*)","MRL 同名+小葉菜類","",""
"近似作物名","十字花科小葉菜類","達特南","4","DINOTEFURAN=近似作物名待確認(標準有近似名:十字花科小葉菜類(小松菜、蕪菁葉除外))","MRL 同名+小葉菜類","",""
"近似作物名","十字花科小葉菜類","達滅克敏","1","PYRACLOSTROBIN=近似作物名待確認(標準有近似名:其他十字花科小葉菜類(芥菜除外)) | DIMETHOMORPH=有容許量(十字花科小葉菜類 2.5ppm)","MRL 同名+小葉菜類","",""
"通用列","十字花科小葉菜類","毆殺松","2","ACEPHATE=通用列待確認(標準有通用列:其他小葉菜類(芹菜除外)、其他包葉菜類(結球萵苣除外)、其他果菜類(甜椒除外)、其他(蔬果類)*、其他(穀類)*、其他(茶類)*)","MRL 同名+小葉菜類","",""
"通用列","十字花科小葉菜類","毆殺滅","1","OXAMYL=通用列待確認(標準有通用列:其他小葉菜類(芹菜除外)、其他柑桔類(柳橙除外)、其他果菜類(番茄除外)、其他(蔬果類)*、其他(穀類)*、其他(茶類)*)","MRL 同名+小葉菜類","",""
"通用列","十字花科小葉菜類","賜諾殺","5","SPINOSAD=通用列待確認(標準有通用列:其他小葉菜類(不結球萵苣、半結球萵苣、芹菜、青蔥及紫蘇除外)、其他梨果類(蘋果除外))","MRL 同名+小葉菜類","",""
"通用列","十字花科小葉菜類","鋅錳滅達樂","1","MANCOZEB=查無對應(標準與免訂清單皆無此成分(法規狀態未定,已去函食藥署)) | METALAXYL=通用列待確認(標準有通用列:其他小葉菜類(不結球萵苣、半結球萵苣、芹菜、青蔥及菠菜除外)、其他小漿果類(草莓、葡萄、蔓越莓及藍莓除外)、其他果菜類(甜椒除外)、其他根莖菜類(洋蔥、胡蘿蔔、馬鈴薯、甜菜根及蘿蔔除外))","MRL 同名+小葉菜類","",""
"通用列","十字花科小葉菜類","賽洛寧","2","LAMBDA-CYHALOTHRIN=通用列待確認(經對照總表(中文通用名→Cyhalothrin);標準有通用列:其他小葉菜類(蒜除外)、其他核果類(荔枝除外)、其他根莖菜類(山藥、牛蒡、甘藷、芋頭、豆薯、洋蔥、胡蘿蔔、百合鱗莖、紅蔥頭、馬鈴薯、黑皮波羅門參、蒜頭、樹薯、蕎頭、狗尾草根、闊葉大豆根及蘆筍除外)、其他堅果類(胡桃、榛果除外)、其他梨果類(柿除外)、其他(蔬果類)*、其他(穀類)*、其他(茶類)*)","MRL 同名+小葉菜類","",""
"通用列","十字花科小葉菜類","賽滅淨","1","CYROMAZINE=通用列待確認(標準有通用列:其他小葉菜類(?結球萵苣、半結球萵苣、芹菜、青蔥、菠菜、茼蒿除外)、其他豆菜類(萊豆除外)、其他包葉菜類(結球萵苣除外)、其他果菜類(甜椒、茄子、枸杞、番茄、辣椒除外))","MRL 同名+小葉菜類","",""
"近似作物名","十字花科包葉菜類","三氟派瑞","1","FLUOPYRAM=有容許量(十字花科包葉菜類 2ppm) | TRIFLOXYSTROBIN=近似作物名待確認(標準有近似名:其他十字花科包葉菜類(甘藍、抱子甘藍除外))","MRL 同名+包葉菜類","",""
"近似作物名","十字花科包葉菜類","三氟得克利","1","TRIFLOXYSTROBIN=近似作物名待確認(標準有近似名:其他十字花科包葉菜類(甘藍、抱子甘藍除外)) | TEBUCONAZOLE=近似作物名待確認(標準有近似名:其他十字花科包葉菜類(甘藍、抱子甘藍、花椰菜、青花菜除外))","MRL 同名+包葉菜類","",""
"通用列","十字花科包葉菜類","白列克敏","1","PYRACLOSTROBIN=有容許量(十字花科包葉菜類 2ppm) | BOSCALID=通用列待確認(標準有通用列:其他瓜菜類(南瓜、小黃瓜、胡瓜除外)、其他(蔬果類)*、其他(穀類)*、其他(茶類)*)","MRL 同名+包葉菜類","",""
"通用列","十字花科包葉菜類","因汀氟滅","2","EMAMECTIN BENZOATE=通用列待確認(標準有通用列:其他瓜果類(洋香瓜除外)、其他豆菜類(刀豆、毛豆、花豆(鮮)、扁豆、豇豆(鮮)、菜豆、萊豆、豌豆、樹豆(鮮)、翼豆、蠶豆(鮮)、鷹嘴豆除外)、其他包葉菜類(結球萵苣除外)、其他果菜類(甜椒、番茄、辣椒除外)、其他梨果類(油桃、桃、蘋果除外)) | FLUBENDIAMIDE=通用列待確認(標準有通用列:其他乾豆類(棉籽除外)、其他梨果類(李、杏、油桃、柿、桃、梅、蘋果、櫻桃除外))","MRL 同名+包葉菜類","",""
"通用列","十字花科包葉菜類","因得克","1","INDOXACARB=通用列待確認(標準有通用列:其他(蔬果類)*、其他(穀類)*、其他(茶類)*)","MRL 同名+包葉菜類","",""
"通用列","十字花科包葉菜類","因滅汀","5","EMAMECTIN BENZOATE=通用列待確認(標準有通用列:其他瓜果類(洋香瓜除外)、其他豆菜類(刀豆、毛豆、花豆(鮮)、扁豆、豇豆(鮮)、菜豆、萊豆、豌豆、樹豆(鮮)、翼豆、蠶豆(鮮)、鷹嘴豆除外)、其他包葉菜類(結球萵苣除外)、其他果菜類(甜椒、番茄、辣椒除外)、其他梨果類(油桃、桃、蘋果除外))","MRL 同名+包葉菜類","",""
"通用列","十字花科包葉菜類","百滅寧","4","PERMETHRIN=通用列待確認(標準有通用列:其他包葉菜類(甘藍及結球萵苣除外)、其他根莖菜類(蘆筍除外)、其他乾豆類(棉籽、葵花籽除外)、其他(蔬果類)*、其他(穀類)*、其他(茶類)*)","MRL 同名+包葉菜類","",""
"通用列","十字花科包葉菜類","佈飛百滅寧","1","PROFENOFOS=有容許量(包葉菜類 1ppm) | PERMETHRIN=通用列待確認(標準有通用列:其他包葉菜類(甘藍及結球萵苣除外)、其他根莖菜類(蘆筍除外)、其他乾豆類(棉籽、葵花籽除外)、其他(蔬果類)*、其他(穀類)*、其他(茶類)*)","MRL 同名+包葉菜類","",""
"通用列","十字花科包葉菜類","佈飛賽滅寧","1","PROFENOFOS=有容許量(包葉菜類 1ppm) | CYPERMETHRIN=通用列待確認(標準有通用列:其他包葉菜類(結球萵苣、甘藍、青花菜除外)、其他根莖菜類(豆薯、狗尾草根、洋蔥、甜菜根、闊葉大豆根、蘆筍除外)、其他麥類(大麥、小麥、黑麥、燕麥除外)、其他(蔬果類)*、其他(穀類)*、其他(茶類)*)","MRL 同名+包葉菜類","",""
"通用列","十字花科包葉菜類","克福隆","1","CHLORFLUAZURON=通用列待確認(標準有通用列:其他小葉菜類(菠菜除外)、其他包葉菜類(結球萵苣除外)、其他(蔬果類)*、其他(穀類)*、其他(茶類)*)","MRL 同名+包葉菜類","",""
"近似作物名","十字花科包葉菜類","亞克瑞","1","ISOCYCLOSERAM=近似作物名待確認(標準有近似名:其他十字花科包葉菜類(甘藍除外))","MRL 同名+包葉菜類","",""
"通用列","十字花科包葉菜類","芬化利","8","FENVALERATE=通用列待確認(標準有通用列:其他小漿果類(楊桃除外)、其他根莖菜類(胡蘿蔔除外)、其他(蔬果類)*、其他(穀類)*、其他(茶類)*)","MRL 同名+包葉菜類","",""
"近似作物名","十字花科包葉菜類","阿巴安勃","7","ABAMECTIN=有容許量(十字花科包葉菜類 0.05ppm) | CHLORANTRANILIPROLE=近似作物名待確認(標準有近似名:其他十字花科包葉菜類(甘藍、青花菜除外))","MRL 同名+包葉菜類","",""
"近似作物名","十字花科包葉菜類","剋安勃","2","CHLORANTRANILIPROLE=近似作物名待確認(標準有近似名:其他十字花科包葉菜類(甘藍、青花菜除外))","MRL 同名+包葉菜類","",""
"近似作物名","十字花科包葉菜類","待克利","1","DIFENOCONAZOLE=近似作物名待確認(標準有近似名:其他十字花科包葉菜類(甘藍、抱子甘藍、花椰菜除外))","MRL 同名+包葉菜類","",""
"通用列","十字花科包葉菜類","氟大滅","6","FLUBENDIAMIDE=通用列待確認(標準有通用列:其他乾豆類(棉籽除外)、其他梨果類(李、杏、油桃、柿、桃、梅、蘋果、櫻桃除外))","MRL 同名+包葉菜類","",""
"通用列","十字花科包葉菜類","美氟綜","1","METAFLUMIZONE=通用列待確認(標準有通用列:其他(蔬果類)*、其他(穀類)*、其他(茶類)*)","MRL 同名+包葉菜類","",""
"通用列","十字花科包葉菜類","益化利","1","ESFENVALERATE=通用列待確認(經對照總表(法規原文→芬化利);標準有通用列:其他小漿果類(楊桃除外)、其他根莖菜類(胡蘿蔔除外)、其他(蔬果類)*、其他(穀類)*、其他(茶類)*)","MRL 同名+包葉菜類","",""
"通用列","十字花科包葉菜類","益滅賽寧","1","PHOSMET=有容許量(包葉菜類 1ppm) | CYPERMETHRIN=通用列待確認(標準有通用列:其他包葉菜類(結球萵苣、甘藍、青花菜除外)、其他根莖菜類(豆薯、狗尾草根、洋蔥、甜菜根、闊葉大豆根、蘆筍除外)、其他麥類(大麥、小麥、黑麥、燕麥除外)、其他(蔬果類)*、其他(穀類)*、其他(茶類)*)","MRL 同名+包葉菜類","",""
"通用列","十字花科包葉菜類","益達胺","3","IMIDACLOPRID=通用列待確認(標準有通用列:其他小葉菜類(半結球萵苣、不結球萵苣、蒜、蕗蕎及芹菜除外)、其他包葉菜類(結球萵苣除外)、其他豆菜類(毛豆除外)、其他果菜類(甜椒、金針除外)、其他核果類(橄欖除外)、其他根莖菜類(茭白筍、蓮藕、山藥、洋蔥、紅蔥頭、馬鈴薯、黑皮波羅門參、牛蒡、百合鱗莖、竹筍、芋頭、豆薯除外)、其他乾豆類(油菜籽、葵花籽、蓮子、落花生、大豆、芝麻除外)、其他(蔬果類)*、其他(穀類)*、其他(茶類)*)","MRL 同名+包葉菜類","",""
"近似作物名","十字花科包葉菜類","速殺氟","2","SULFOXAFLOR=近似作物名待確認(標準有近似名:其他十字花科包葉菜類(花椰菜除外))","MRL 同名+包葉菜類","",""
"通用列","十字花科包葉菜類","硫敵克","1","THIODICARB=通用列待確認(標準有通用列:其他小葉菜類(芹菜除外)、其他包葉菜類(甘藍、青花菜及結球萵苣除外)、其他(蔬果類)*、其他(穀類)*、其他(茶類)*)","MRL 同名+包葉菜類","",""
"通用列","十字花科包葉菜類","祿芬隆","1","LUFENURON=通用列待確認(標準有通用列:其他(蔬果類)*、其他(穀類)*、其他(茶類)*)","MRL 同名+包葉菜類","",""
"近似作物名","十字花科包葉菜類","達滅克敏","1","PYRACLOSTROBIN=有容許量(十字花科包葉菜類 2ppm) | DIMETHOMORPH=近似作物名待確認(標準有近似名:十字花科包葉菜類(球莖甘藍除外))","MRL 同名+包葉菜類","",""
"近似作物名","十字花科包葉菜類","達滅芬","2","DIMETHOMORPH=近似作物名待確認(標準有近似名:十字花科包葉菜類(球莖甘藍除外))","MRL 同名+包葉菜類","",""
"通用列","十字花科包葉菜類","毆殺松","2","ACEPHATE=通用列待確認(標準有通用列:其他小葉菜類(芹菜除外)、其他包葉菜類(結球萵苣除外)、其他果菜類(甜椒除外)、其他(蔬果類)*、其他(穀類)*、其他(茶類)*)","MRL 同名+包葉菜類","",""
"近似作物名","十字花科包葉菜類","賜派滅","1","SPIROTETRAMAT=近似作物名待確認(標準有近似名:其他十字花科包葉菜類(甘藍除外))","MRL 同名+包葉菜類","",""
"近似作物名","十字花科包葉菜類","賽洛安勃","2","LAMBDA-CYHALOTHRIN=查無對應(標準與免訂清單皆無此成分(法規狀態未定,已去函食藥署)) | CHLORANTRANILIPROLE=近似作物名待確認(標準有近似名:其他十字花科包葉菜類(甘藍、青花菜除外))","MRL 同名+包葉菜類","",""
"近似作物名","十字花科包葉菜類","賽速安勃","7","THIAMETHOXAM=有容許量(十字花科包葉菜類 1ppm) | CHLORANTRANILIPROLE=近似作物名待確認(標準有近似名:其他十字花科包葉菜類(甘藍、青花菜除外))","MRL 同名+包葉菜類","",""
"通用列","十字花科包葉菜類","賽滅淨","1","CYROMAZINE=通用列待確認(標準有通用列:其他小葉菜類(?結球萵苣、半結球萵苣、芹菜、青蔥、菠菜、茼蒿除外)、其他豆菜類(萊豆除外)、其他包葉菜類(結球萵苣除外)、其他果菜類(甜椒、茄子、枸杞、番茄、辣椒除外))","MRL 同名+包葉菜類","",""
"通用列","十字花科包葉菜類","賽滅寧","1","CYPERMETHRIN=通用列待確認(標準有通用列:其他包葉菜類(結球萵苣、甘藍、青花菜除外)、其他根莖菜類(豆薯、狗尾草根、洋蔥、甜菜根、闊葉大豆根、蘆筍除外)、其他麥類(大麥、小麥、黑麥、燕麥除外)、其他(蔬果類)*、其他(穀類)*、其他(茶類)*)","MRL 同名+包葉菜類","",""
"近似作物名","十字花科包葉菜類","護汰派滅芬","1","FLUDIOXONIL=近似作物名待確認(標準有近似名:其他十字花科包葉菜類(甘藍除外)) | PYDIFLUMETOFEN=有容許量(十字花科包葉菜類 2ppm)","MRL 同名+包葉菜類","",""
"通用列","十字花科根菜類","大利松","1","DIAZINON=通用列待確認(標準有通用列:其他根莖菜類(胡蘿蔔除外))","根莖菜類","",""
"通用列","十字花科根菜類","四氯異苯腈","1","CHLOROTHALONIL=通用列待確認(標準有通用列:其他小葉菜類(十字花科小葉菜類除外)、其他小漿果類(草莓、藍莓除外)、其他乾豆類(落花生除外)、其他根莖菜類(人參(鮮)除外)、其他(蔬果類)*、其他(穀類)*、其他(茶類)*)","根莖菜類","",""
"通用列","十字花科根菜類","百滅寧","4","PERMETHRIN=通用列待確認(標準有通用列:其他包葉菜類(甘藍及結球萵苣除外)、其他根莖菜類(蘆筍除外)、其他乾豆類(棉籽、葵花籽除外)、其他(蔬果類)*、其他(穀類)*、其他(茶類)*)","根莖菜類","",""
"通用列","十字花科根菜類","佈飛百滅寧","1","PROFENOFOS=有容許量(根莖菜類 0.05ppm) | PERMETHRIN=通用列待確認(標準有通用列:其他包葉菜類(甘藍及結球萵苣除外)、其他根莖菜類(蘆筍除外)、其他乾豆類(棉籽、葵花籽除外)、其他(蔬果類)*、其他(穀類)*、其他(茶類)*)","根莖菜類","",""
"通用列","十字花科根菜類","佈飛賽滅寧","1","PROFENOFOS=有容許量(根莖菜類 0.05ppm) | CYPERMETHRIN=通用列待確認(標準有通用列:其他包葉菜類(結球萵苣、甘藍、青花菜除外)、其他根莖菜類(豆薯、狗尾草根、洋蔥、甜菜根、闊葉大豆根、蘆筍除外)、其他麥類(大麥、小麥、黑麥、燕麥除外)、其他(蔬果類)*、其他(穀類)*、其他(茶類)*)","根莖菜類","",""
"通用列","十字花科根菜類","亞托敏","1","AZOXYSTROBIN=通用列待確認(標準有通用列:其他小葉菜類(半結球萵苣、不結球萵苣、芹菜、青蔥、蒜及茼蒿除外)、其他小漿果類(藍莓、覆盆子除外)、其他豆菜類(刀豆、毛豆、花豆(鮮)、扁豆、豇豆(鮮)、萊豆、菜豆、豌豆、樹豆(鮮)、翼豆、蠶豆(鮮)、鷹嘴豆除外)、其他果菜類(枸杞、茄子、甜椒、番茄、辣椒除外)、其他根莖菜類(芋頭、洋蔥、馬鈴薯、甜菜根、人參(鮮)、牛蒡、豆薯、百合鱗莖、紅蔥頭、黑皮波羅門參、蕎頭、薑、蘆筍除外)、其他草木本植物(火龍果花、菊花除外)、其他堅果類(杏仁、開心果除外)、其他(蔬果類)*、其他(穀類)*、其他(茶類)*)","根莖菜類","",""
"通用列","十字花科根菜類","芬化利","8","FENVALERATE=通用列待確認(標準有通用列:其他小漿果類(楊桃除外)、其他根莖菜類(胡蘿蔔除外)、其他(蔬果類)*、其他(穀類)*、其他(茶類)*)","根莖菜類","",""
"通用列","十字花科根菜類","剋安勃","1","CHLORANTRANILIPROLE=通用列待確認(標準有通用列:其他十字花科包葉菜類(甘藍、青花菜除外)、其他小葉菜類(十字花科小葉菜類、不結球萵苣、半結球萵苣、芹菜、菠菜、葉用豌豆、白鳳菜、芳香萬壽菊、青蔥、枸杞葉、紅鳳菜、韭菜、韭菜花、韭黃、香椿、茼蒿、蒜、龍鬚菜、闊包菊除外)、其他小漿果類(草莓、黑莓、蔓越莓、藍莓、覆盆子、葡萄除外)、其他瓜果類(洋香瓜、香瓜除外)、其他瓜菜類(胡瓜除外)、其他果菜類(甜椒、番茄、辣椒除外)、其他根莖菜類(胡蘿蔔、豆薯、狗尾草根、闊葉大豆根、蘿蔔除外)、其他堅果類(杏仁、美洲胡桃除外)、其他梨果類(李、杏、油桃、桃、梅、梨、蘋果、櫻桃除外)、其他麥類(大麥、小麥除外)、其他雜糧類(高粱除外)、其他(蔬果類)*、其他(穀類)*、其他(茶類)*)","根莖菜類","",""
"通用列","十字花科根菜類","氟比拔克","1","FLUOPICOLIDE=通用列待確認(標準有通用列:其他(蔬果類)*、其他(穀類)*、其他(茶類)*) | PROPAMOCARB HYDROCHLORIDE=通用列待確認(標準有通用列:其他(蔬果類)*、其他(穀類)*、其他(茶類)*)","根莖菜類","",""
"通用列","十字花科根菜類","氟克殺","1","FLUXAPYROXAD=通用列待確認(標準有通用列:其他豆菜類(毛豆除外)、其他乾豆類(大豆、落花生、小扁豆、棉籽、豌豆、油菜籽、葵花籽除外)、其他梨果類(李、杏、油桃、桃、梅、櫻桃除外))","根莖菜類","",""
"通用列","十字花科根菜類","益達胺","2","IMIDACLOPRID=通用列待確認(標準有通用列:其他小葉菜類(半結球萵苣、不結球萵苣、蒜、蕗蕎及芹菜除外)、其他包葉菜類(結球萵苣除外)、其他豆菜類(毛豆除外)、其他果菜類(甜椒、金針除外)、其他核果類(橄欖除外)、其他根莖菜類(茭白筍、蓮藕、山藥、洋蔥、紅蔥頭、馬鈴薯、黑皮波羅門參、牛蒡、百合鱗莖、竹筍、芋頭、豆薯除外)、其他乾豆類(油菜籽、葵花籽、蓮子、落花生、大豆、芝麻除外)、其他(蔬果類)*、其他(穀類)*、其他(茶類)*)","根莖菜類","",""
"通用列","十字花科根菜類","馬拉松","3","MALATHION=通用列待確認(標準有通用列:其他大漿果類(番荔枝、黃金果及榴槤蜜除外)、其他果菜類(金針除外)、其他(蔬果類)*、其他(穀類)*、其他(茶類)*)","根莖菜類","",""
"通用列","十字花科根菜類","畢芬寧","1","BIFENTHRIN=通用列待確認(標準有通用列:其他小漿果類(草莓除外)、其他果菜類(金針、洛神葵除外)、其他根莖菜類(山藥除外)、其他(蔬果類)*、其他(穀類)*、其他(茶類)*)","根莖菜類","",""
"通用列","十字花科根菜類","第滅寧","2","DELTAMETHRIN=通用列待確認(標準有通用列:其他根莖菜類(牛蒡、竹筍、洋蔥、胡蘿蔔、黑皮波羅門參、蘿蔔除外)、其他雜糧類(高粱除外)、其他果菜類(金針除外)、其他核果類(橄欖除外)、其他梨果類(桃除外)、其他(蔬果類)*、其他(穀類)*、其他(茶類)*)","根莖菜類","",""
"通用列","十字花科根菜類","速殺氟","2","SULFOXAFLOR=通用列待確認(標準有通用列:其他十字花科包葉菜類(花椰菜除外)、其他根莖菜類(蒜頭、洋蔥、胡蘿蔔除外)、其他乾豆類(棉籽、油菜籽除外))","根莖菜類","",""
"通用列","十字花科根菜類","達特南","4","DINOTEFURAN=通用列待確認(標準有通用列:其他瓜果類(西瓜、洋香瓜、香瓜除外)、其他瓜菜類(冬瓜、南瓜、扁蒲、苦瓜、夏南瓜、隼人瓜、絲瓜、越瓜、胡瓜除外)、其他柑桔類(柑桔除外)、其他果菜類(金針、枸杞、秋葵、茄子、甜椒、番茄、辣椒除外))","根莖菜類","",""
"通用列","十字花科根菜類","達滅克敏","1","PYRACLOSTROBIN=通用列待確認(標準有通用列:其他乾豆類(落花生、小扁豆、菜豆、大豆、葵花籽、豌豆除外)、其他堅果類(開心果除外)、其他(蔬果類)*、其他(穀類)*、其他(茶類)*、其他十字花科小葉菜類(芥菜除外)) | DIMETHOMORPH=通用列待確認(標準有通用列:其他小漿果類(草莓、葡萄及蓮霧除外)、其他瓜果類(西瓜、洋香瓜、香瓜除外)、其他瓜菜類(小黃瓜、胡瓜除外)、其他果菜類(番茄、枸杞、茄子、甜椒、辣椒除外)、其他(蔬果類)*、其他(穀類)*、其他(茶類)*)","根莖菜類","",""
"通用列","十字花科根菜類","達滅芬","2","DIMETHOMORPH=通用列待確認(標準有通用列:其他小漿果類(草莓、葡萄及蓮霧除外)、其他瓜果類(西瓜、洋香瓜、香瓜除外)、其他瓜菜類(小黃瓜、胡瓜除外)、其他果菜類(番茄、枸杞、茄子、甜椒、辣椒除外)、其他(蔬果類)*、其他(穀類)*、其他(茶類)*)","根莖菜類","",""
"通用列","十字花科根菜類","賜諾殺","4","SPINOSAD=通用列待確認(標準有通用列:其他小葉菜類(不結球萵苣、半結球萵苣、芹菜、青蔥及紫蘇除外)、其他梨果類(蘋果除外))","根莖菜類","",""
"通用列","十字花科根菜類","鋅錳滅達樂","1","MANCOZEB=查無對應(標準與免訂清單皆無此成分(法規狀態未定,已去函食藥署)) | METALAXYL=通用列待確認(標準有通用列:其他小葉菜類(不結球萵苣、半結球萵苣、芹菜、青蔥及菠菜除外)、其他小漿果類(草莓、葡萄、蔓越莓及藍莓除外)、其他果菜類(甜椒除外)、其他根莖菜類(洋蔥、胡蘿蔔、馬鈴薯、甜菜根及蘿蔔除外))","根莖菜類","",""
"通用列","十字花科根菜類","賽洛寧","1","LAMBDA-CYHALOTHRIN=通用列待確認(經對照總表(中文通用名→Cyhalothrin);標準有通用列:其他小葉菜類(蒜除外)、其他核果類(荔枝除外)、其他根莖菜類(山藥、牛蒡、甘藷、芋頭、豆薯、洋蔥、胡蘿蔔、百合鱗莖、紅蔥頭、馬鈴薯、黑皮波羅門參、蒜頭、樹薯、蕎頭、狗尾草根、闊葉大豆根及蘆筍除外)、其他堅果類(胡桃、榛果除外)、其他梨果類(柿除外)、其他(蔬果類)*、其他(穀類)*、其他(茶類)*)","根莖菜類","",""
"通用列","十字花科根菜類","賽滅寧","1","CYPERMETHRIN=通用列待確認(標準有通用列:其他包葉菜類(結球萵苣、甘藍、青花菜除外)、其他根莖菜類(豆薯、狗尾草根、洋蔥、甜菜根、闊葉大豆根、蘆筍除外)、其他麥類(大麥、小麥、黑麥、燕麥除外)、其他(蔬果類)*、其他(穀類)*、其他(茶類)*)","根莖菜類","",""
"通用列","十字花科根菜類","賽達松","2","PHENTHOATE=通用列待確認(標準有通用列:其他(蔬果類)*、其他(穀類)*、其他(茶類)*)","根莖菜類","",""
"通用列","十字花科乾豆類","賜派滅","1","SPIROTETRAMAT=通用列待確認(標準有通用列:其他十字花科包葉菜類(甘藍除外)、其他小葉菜類(十字花科小葉菜類、芹菜除外)、其他乾豆類(棉籽、大豆除外)、其他梨果類(印度棗、李、杏、枇杷、油桃、紅棗、桃、梅、梨、櫻桃除外))","乾豆類","",""
"通用列","大豆","四氯異苯腈","1","CHLOROTHALONIL=通用列待確認(標準有通用列:其他小葉菜類(十字花科小葉菜類除外)、其他小漿果類(草莓、藍莓除外)、其他乾豆類(落花生除外)、其他根莖菜類(人參(鮮)除外)、其他(蔬果類)*、其他(穀類)*、其他(茶類)*)","MRL 同名+乾豆類","",""
"通用列","大豆","百利普芬","1","PYRIPROXYFEN=通用列待確認(標準有通用列:其他柑桔類(葡萄柚、檸檬除外)、其他梨果類(櫻桃除外)、其他(蔬果類)*、其他(穀類)*、其他(茶類)*)","MRL 同名+乾豆類","",""
"通用列","大豆","快諾芬","1","QUINOXYFEN=通用列待確認(標準有通用列:其他瓜果類(西瓜、洋香瓜、香瓜除外)、其他(蔬果類)*、其他(穀類)*、其他(茶類)*)","MRL 同名+乾豆類","",""
