中文普通名稱,登記用途數,類型,許可證英文名稱,有效成分(英文),該成分比對結果,對應項目,法規依據,整筆是否全部可對應
"硫酸快得寧",3,"混合劑","OXINE-COPPER + COPPER SULPHATE","OXINE-COPPER","附表一有訂容許量","快得寧（Oxine-copper）","","否"
"硫酸快得寧",3,"混合劑","OXINE-COPPER + COPPER SULPHATE","COPPER SULPHATE","查無對應","","","否"
"克蠅香",3,"英文名欄位為空","","","英文名欄位為空","","","否"
"四氯保淨",3,"混合劑","THIOPHANATE-METHYL + CHLOROTHALONIL","THIOPHANATE-METHYL","法規備註已涵蓋","貝芬替","註二","是"
"四氯保淨",3,"混合劑","THIOPHANATE-METHYL + CHLOROTHALONIL","CHLOROTHALONIL","附表一有訂容許量","四氯異苯?（Chlorothalonil）","","是"
"四氯賽得",3,"混合劑","CHLOROTHALONIL + FOSETYL AL","CHLOROTHALONIL","附表一有訂容許量","四氯異苯?（Chlorothalonil）","","是"
"四氯賽得",3,"混合劑","CHLOROTHALONIL + FOSETYL AL","FOSETYL AL","附表一有訂容許量","福賽得（Fosetyl-Al）","","是"
"四氯右滅達樂",2,"混合劑","CHLOROTHALONIL + METALAXYL-M","CHLOROTHALONIL","附表一有訂容許量","四氯異苯?（Chlorothalonil）","","是"
"四氯右滅達樂",2,"混合劑","CHLOROTHALONIL + METALAXYL-M","METALAXYL-M","法規備註已涵蓋","滅達樂","註四之4","是"
"保粒快得寧",2,"混合劑","POLYOXIN B + OXINE-COPPER","POLYOXIN B","查無對應","","","否"
"保粒快得寧",2,"混合劑","POLYOXIN B + OXINE-COPPER","OXINE-COPPER","附表一有訂容許量","快得寧（Oxine-copper）","","否"
"蕈狀芽孢桿菌AGB01",2,"單一成分","BACILLUS MYCOIDES AGB01","BACILLUS MYCOIDES AGB01","查無對應","","","否"
"克絕波爾多",2,"混合劑","CYMOXANIL + BORDEAUX","CYMOXANIL","附表一有訂容許量","克絕（Cymoxanil）","","否"
"克絕波爾多",2,"混合劑","CYMOXANIL + BORDEAUX","BORDEAUX","查無對應","","","否"
"氟比賽得",2,"混合劑","FOSETYL-ALUMINIUM + FLUOPICOLIDE","FOSETYL-ALUMINIUM","查無對應","","","否"
"氟比賽得",2,"混合劑","FOSETYL-ALUMINIUM + FLUOPICOLIDE","FLUOPICOLIDE","附表一有訂容許量","氟比來（Fluopicolide）","","否"
"硫黃芬胺",2,"混合劑","cyflufenamid＋sulfur","cyflufenamid","附表一有訂容許量","賽芬胺（Cyflufenamid）","","是"
"硫黃芬胺",2,"混合劑","cyflufenamid＋sulfur","sulfur","得免訂定容許量","可濕性硫黃","","是"
"納得亞滅寧",2,"混合劑","METHOMYL + ALPHA-CYPERMETHRIN","METHOMYL","附表一有訂容許量","納乃得（Methomyl）","","是"
"納得亞滅寧",2,"混合劑","METHOMYL + ALPHA-CYPERMETHRIN","ALPHA-CYPERMETHRIN","法規備註已涵蓋","賽滅寧","註四之1","是"
"克熱賜圃",2,"混合劑","IMINOCTADINE TRIACETATE + ISOPROTHIOLANE","IMINOCTADINE TRIACETATE","法規備註已涵蓋","克熱淨(醋酸鹽或烷苯磺酸鹽)","註三","是"
"克熱賜圃",2,"混合劑","IMINOCTADINE TRIACETATE + ISOPROTHIOLANE","ISOPROTHIOLANE","附表一有訂容許量","亞賜圃（Isoprothiolane）","","是"
"福芬素",2,"單一成分","FORCHLORFENURON","FORCHLORFENURON","查無對應","","","否"
"保粒保淨",2,"混合劑","POLYOXINS + THIOPHANATE-METHYL","POLYOXINS","得免訂定容許量","保粒黴素","","是"
"保粒保淨",2,"混合劑","POLYOXINS + THIOPHANATE-METHYL","THIOPHANATE-METHYL","法規備註已涵蓋","貝芬替","註二","是"
"甲鋅保粒素",2,"混合劑","PROPINEB + POLYOXIN B","PROPINEB","法規備註已涵蓋","二硫代胺基甲酸鹽類","註一","否"
"甲鋅保粒素",2,"混合劑","PROPINEB + POLYOXIN B","POLYOXIN B","查無對應","","","否"
"發光光桿菌0805-P2R",1,"單一成分","Photorhabdus luminescens 0805-P2R","Photorhabdus luminescens 0805-P2R","查無對應","","","否"
