"作物","藥劑","防治對象數","成分逐一判定","作物歸類","人工確認(是/否)","備註"
"茶","快得寧","1","OXINE-COPPER=不得檢出候選(標準有此成分(15 列),但本作物/分類/通用列皆查無)","MRL 同名+茶類","",""
"婆羅門參","殺紋依得利","1","ETRIDIAZOLE=有容許量(根莖菜類 3ppm) | HYMEXAZOL=不得檢出候選(標準有此成分(43 列),但本作物/分類/通用列皆查無)","根莖菜類","",""
"旋花科小葉菜類","可芬諾","2","CHROMAFENOZIDE=不得檢出候選(標準有此成分(97 列),但本作物/分類/通用列皆查無)","小葉菜類","",""
"旋花科根菜類","可芬諾","2","CHROMAFENOZIDE=不得檢出候選(標準有此成分(97 列),但本作物/分類/通用列皆查無)","根莖菜類","",""
"梅","克熱淨","1","IMINOCTADINE TRIACETATE=不得檢出候選(經對照總表(中文通用名→Guazatine);標準有此成分(1 列),但本作物/分類/通用列皆查無)","MRL 同名+梨果類","",""
"梨","克熱淨","1","IMINOCTADINE TRIACETATE=不得檢出候選(經對照總表(中文通用名→Guazatine);標準有此成分(1 列),但本作物/分類/通用列皆查無)","MRL 同名+梨果類","",""
"甜椒","嘉賜銅","1","KASUGAMYCIN=不得檢出候選(標準有此成分(16 列),但本作物/分類/通用列皆查無) | COPPER OXYCHLORIDE=免訂(列於免訂容許量清單)","MRL 同名+果菜類","",""
"棉","覆滅蟎","1","FORMETANATE=不得檢出候選(標準有此成分(37 列),但本作物/分類/通用列皆查無)","乾豆類","",""
"番茄","嘉賜銅","3","KASUGAMYCIN=不得檢出候選(標準有此成分(16 列),但本作物/分類/通用列皆查無) | COPPER OXYCHLORIDE=免訂(列於免訂容許量清單)","MRL 同名+果菜類","",""
"菊科小葉菜類","可芬諾","2","CHROMAFENOZIDE=不得檢出候選(標準有此成分(97 列),但本作物/分類/通用列皆查無)","小葉菜類","",""
"菊科包葉菜類","可芬諾","2","CHROMAFENOZIDE=不得檢出候選(標準有此成分(97 列),但本作物/分類/通用列皆查無)","包葉菜類","",""
"菊科根菜類","可芬諾","2","CHROMAFENOZIDE=不得檢出候選(標準有此成分(97 列),但本作物/分類/通用列皆查無)","根莖菜類","",""
"菊科根菜類","免扶克","1","BENFURACARB=不得檢出候選(標準有此成分(5 列),但本作物/分類/通用列皆查無)","根莖菜類","",""
"菊科根菜類","畢達本","1","PYRIDABEN=不得檢出候選(標準有此成分(29 列),但本作物/分類/通用列皆查無)","根莖菜類","",""
