藥劑名稱,影響用途數,證據層級,對應目標,依據,注意事項,人工確認(是/否),修正為
"蓋棘木黴菌ICC080/012",20,"生物製劑","","多數屬免訂容許量,確認是否在清單內(注意菌株層級)","",,
"鋅錳滅達樂",10,"疑似混合劑或衍生物","","含已知成分「滅達樂」,須逐一拆解","",,
"撲克拉錳",9,"疑似混合劑或衍生物","","含已知成分「撲克拉」,須逐一拆解","",,
"銅合硫磺",8,"疑似混合劑","","名稱由多個成分組合而成,須逐一拆解後分別對照","",,
"本達亞喜芬",8,"疑似混合劑或衍生物","","含已知成分「亞喜芬」,須逐一拆解","",,
"福賽亞汰尼",8,"疑似混合劑或衍生物","","含已知成分「亞汰尼」,須逐一拆解","",,
"嘉磷塞 (胺鹽 )",5,"疑似混合劑或衍生物","","含已知成分「嘉磷塞」,須逐一拆解","",,
"綠木黴菌R42",4,"生物製劑","","多數屬免訂容許量,確認是否在清單內(注意菌株層級)","",,
"銅快得寧",4,"疑似混合劑或衍生物","","含已知成分「快得寧」,須逐一拆解","",,
"苦參鹼",4,"生物製劑","","多數屬免訂容許量,確認是否在清單內(注意菌株層級)","",,
"甜菜夜蛾核多角體病毒",4,"生物製劑","","多數屬免訂容許量,確認是否在清單內(注意菌株層級)","",,
"小菜蛾性費洛蒙",3,"生物製劑","","多數屬免訂容許量,確認是否在清單內(注意菌株層級)","",,
"硫酸快得寧",3,"疑似混合劑或衍生物","","含已知成分「快得寧」,須逐一拆解","",,
"四氯右滅達樂",2,"疑似混合劑或衍生物","","含已知成分「滅達樂」,須逐一拆解","",,
"保粒快得寧",2,"疑似混合劑或衍生物","","含已知成分「快得寧」,須逐一拆解","",,
"蕈狀芽孢桿菌AGB01",2,"生物製劑","","多數屬免訂容許量,確認是否在清單內(注意菌株層級)","",,
"克絕波爾多",2,"疑似混合劑或衍生物","","含已知成分「克絕」,須逐一拆解","",,
"發光光桿菌0805-P2R",1,"生物製劑","","多數屬免訂容許量,確認是否在清單內(注意菌株層級)","",,
"本達快克草",1,"疑似混合劑或衍生物","","含已知成分「克草、快克草」,須逐一拆解","",,
"汰硫免速隆",1,"疑似混合劑或衍生物","","含已知成分「免速隆」,須逐一拆解","",,
"滅芬免速隆",1,"疑似混合劑或衍生物","","含已知成分「免速隆」,須逐一拆解","",,
"銅合腐絕",1,"疑似混合劑或衍生物","","含已知成分「腐絕」,須逐一拆解","",,
"傑他賽滅寧",1,"疑似混合劑或衍生物","","含已知成分「賽滅寧」,須逐一拆解","",,
"畢克草",1,"疑似混合劑或衍生物","","含已知成分「克草」,須逐一拆解","",,
"伽瑪賽洛寧",1,"疑似混合劑或衍生物","","含已知成分「賽洛寧」,須逐一拆解","",,
"鋅錳右本達樂",1,"疑似混合劑或衍生物","","含已知成分「本達樂」,須逐一拆解","",,
"鋅錳本達樂",1,"疑似混合劑或衍生物","","含已知成分「本達樂」,須逐一拆解","",,
"鋅錳曼普胺",1,"疑似混合劑或衍生物","","含已知成分「曼普胺」,須逐一拆解","",,
"左固殺草",1,"疑似混合劑或衍生物","","含已知成分「固殺草」,須逐一拆解","",,
"賽速洛寧",23,"無線索","","須查官方農藥名稱手冊確認學名","",,
"賽洛安勃",13,"無線索","","須查官方農藥名稱手冊確認學名","",,
"免得克敏",11,"無線索","","須查官方農藥名稱手冊確認學名","",,
"益洛寧",10,"無線索","","須查官方農藥名稱手冊確認學名","",,
"波爾多",8,"無線索","","須查官方農藥名稱手冊確認學名","",,
"克凡洛寧",8,"無線索","","須查官方農藥名稱手冊確認學名","",,
"快得保淨",5,"無線索","","須查官方農藥名稱手冊確認學名","",,
"鹼氯氫氧銅",5,"無線索","","須查官方農藥名稱手冊確認學名","",,
"邁隆",4,"無線索","","須查官方農藥名稱手冊確認學名","",,
"移植生長素",4,"無線索","","須查官方農藥名稱手冊確認學名","",,
"克蠅香",3,"無線索","","須查官方農藥名稱手冊確認學名","",,
"四氯保淨",3,"無線索","","須查官方農藥名稱手冊確認學名","",,
"四氯賽得",3,"無線索","","須查官方農藥名稱手冊確認學名","",,
"氟比賽得",2,"無線索","","須查官方農藥名稱手冊確認學名","",,
